Calculating reading plan...
book, book chapters, book words, book time, chapter, chapter words, chapter time
Jos, 24, 18854, 63, 1, 573, 2
Jos, 24, 18854, 63, 2, 768, 3
Jos, 24, 18854, 63, 3, 566, 2
Jos, 24, 18854, 63, 4, 707, 3
Jos, 24, 18854, 63, 5, 550, 2
Jos, 24, 18854, 63, 6, 904, 4
Jos, 24, 18854, 63, 7, 927, 4
Jos, 24, 18854, 63, 8, 1221, 5
Jos, 24, 18854, 63, 9, 800, 3
Jos, 24, 18854, 63, 10, 1393, 5
Jos, 24, 18854, 63, 11, 717, 3
Jos, 24, 18854, 63, 12, 486, 2
Jos, 24, 18854, 63, 13, 825, 3
Jos, 24, 18854, 63, 14, 485, 2
Jos, 24, 18854, 63, 15, 1032, 4
Jos, 24, 18854, 63, 16, 253, 1
Jos, 24, 18854, 63, 17, 660, 3
Jos, 24, 18854, 63, 18, 770, 3
Jos, 24, 18854, 63, 19, 944, 4
Jos, 24, 18854, 63, 20, 308, 2
Jos, 24, 18854, 63, 21, 1026, 4
Jos, 24, 18854, 63, 22, 1321, 5
Jos, 24, 18854, 63, 23, 574, 2
Jos, 24, 18854, 63, 24, 1044, 4
Jg, 21, 18966, 64, 1, 962, 4
Jg, 21, 18966, 64, 2, 692, 3
Jg, 21, 18966, 64, 3, 842, 3
Jg, 21, 18966, 64, 4, 761, 3
Jg, 21, 18966, 64, 5, 755, 3
Jg, 21, 18966, 64, 6, 1295, 5
Jg, 21, 18966, 64, 7, 952, 4
Jg, 21, 18966, 64, 8, 987, 4
Jg, 21, 18966, 64, 9, 1667, 6
Jg, 21, 18966, 64, 10, 473, 2
Jg, 21, 18966, 64, 11, 1235, 5
Jg, 21, 18966, 64, 12, 399, 2
Jg, 21, 18966, 64, 13, 765, 3
Jg, 21, 18966, 64, 14, 706, 3
Jg, 21, 18966, 64, 15, 648, 3
Jg, 21, 18966, 64, 16, 1110, 4
Jg, 21, 18966, 64, 17, 385, 2
Jg, 21, 18966, 64, 18, 1035, 4
Jg, 21, 18966, 64, 19, 1102, 4
Jg, 21, 18966, 64, 20, 1455, 5
Jg, 21, 18966, 64, 21, 740, 3
Ru, 4, 2574, 9, 1, 649, 3
Ru, 4, 2574, 9, 2, 763, 3
Ru, 4, 2574, 9, 3, 541, 2
Ru, 4, 2574, 9, 4, 621, 3
1Sa, 31, 25048, 84, 1, 782, 3
1Sa, 31, 25048, 84, 2, 1104, 4
1Sa, 31, 25048, 84, 3, 549, 2
1Sa, 31, 25048, 84, 4, 733, 3
1Sa, 31, 25048, 84, 5, 439, 2
1Sa, 31, 25048, 84, 6, 752, 3
1Sa, 31, 25048, 84, 7, 510, 2
1Sa, 31, 25048, 84, 8, 541, 2
1Sa, 31, 25048, 84, 9, 990, 4
1Sa, 31, 25048, 84, 10, 863, 3
1Sa, 31, 25048, 84, 11, 503, 2
1Sa, 31, 25048, 84, 12, 771, 3
1Sa, 31, 25048, 84, 13, 697, 3
1Sa, 31, 25048, 84, 14, 1606, 6
1Sa, 31, 25048, 84, 15, 981, 4
1Sa, 31, 25048, 84, 16, 680, 3
1Sa, 31, 25048, 84, 17, 1719, 6
1Sa, 31, 25048, 84, 18, 845, 3
1Sa, 31, 25048, 84, 19, 696, 3
1Sa, 31, 25048, 84, 20, 1289, 5
1Sa, 31, 25048, 84, 21, 499, 2
1Sa, 31, 25048, 84, 22, 761, 3
1Sa, 31, 25048, 84, 23, 831, 3
1Sa, 31, 25048, 84, 24, 661, 3
1Sa, 31, 25048, 84, 25, 1452, 5
1Sa, 31, 25048, 84, 26, 849, 3
1Sa, 31, 25048, 84, 27, 385, 2
1Sa, 31, 25048, 84, 28, 835, 3
1Sa, 31, 25048, 84, 29, 421, 2
1Sa, 31, 25048, 84, 30, 956, 4
1Sa, 31, 25048, 84, 31, 348, 2
2Sa, 24, 20600, 69, 1, 712, 3
2Sa, 24, 20600, 69, 2, 911, 4
2Sa, 24, 20600, 69, 3, 1143, 4
2Sa, 24, 20600, 69, 4, 434, 2
2Sa, 24, 20600, 69, 5, 624, 3
2Sa, 24, 20600, 69, 6, 713, 3
2Sa, 24, 20600, 69, 7, 858, 3
2Sa, 24, 20600, 69, 8, 447, 2
2Sa, 24, 20600, 69, 9, 408, 2
2Sa, 24, 20600, 69, 10, 608, 3
2Sa, 24, 20600, 69, 11, 814, 3
2Sa, 24, 20600, 69, 12, 992, 4
2Sa, 24, 20600, 69, 13, 1149, 4
2Sa, 24, 20600, 69, 14, 1117, 4
2Sa, 24, 20600, 69, 15, 1118, 4
2Sa, 24, 20600, 69, 16, 738, 3
2Sa, 24, 20600, 69, 17, 935, 4
2Sa, 24, 20600, 69, 18, 1096, 4
2Sa, 24, 20600, 69, 19, 1473, 5
2Sa, 24, 20600, 69, 20, 848, 3
2Sa, 24, 20600, 69, 21, 778, 3
2Sa, 24, 20600, 69, 22, 951, 4
2Sa, 24, 20600, 69, 23, 878, 3
2Sa, 24, 20600, 69, 24, 855, 3
1Ki, 22, 24513, 82, 1, 1500, 5
1Ki, 22, 24513, 82, 2, 1510, 6
1Ki, 22, 24513, 82, 3, 850, 3
1Ki, 22, 24513, 82, 4, 706, 3
1Ki, 22, 24513, 82, 5, 527, 2
1Ki, 22, 24513, 82, 6, 1018, 4
1Ki, 22, 24513, 82, 7, 1482, 5
1Ki, 22, 24513, 82, 8, 2139, 8
1Ki, 22, 24513, 82, 9, 826, 3
1Ki, 22, 24513, 82, 10, 839, 3
1Ki, 22, 24513, 82, 11, 1253, 5
1Ki, 22, 24513, 82, 12, 1038, 4
1Ki, 22, 24513, 82, 13, 1138, 4
1Ki, 22, 24513, 82, 14, 987, 4
1Ki, 22, 24513, 82, 15, 951, 4
1Ki, 22, 24513, 82, 16, 1035, 4
1Ki, 22, 24513, 82, 17, 680, 3
1Ki, 22, 24513, 82, 18, 1397, 5
1Ki, 22, 24513, 82, 19, 732, 3
1Ki, 22, 24513, 82, 20, 1480, 5
1Ki, 22, 24513, 82, 21, 908, 4
1Ki, 22, 24513, 82, 22, 1517, 6
2Ki, 25, 23517, 79, 1, 669, 3
2Ki, 25, 23517, 79, 2, 848, 3
